Volcano Number,Volcano Name,Country,Latitude,Longitude,Elevation
210010,West Eifel Volcanic Field,Germany,50.17,6.85,600
210020,Chaine des Puys,France,45.775,2.97,1464
210030,Olot Volcanic Field,Spain,42.17,2.53,893
210040,Calatrava Volcanic Field,Spain,38.87,-4.02,1117
211003,Vulsini,Italy,42.6,11.93,800
211004,Colli Albani,Italy,41.73,12.7,949
211010,Campi Flegrei,Italy,40.827,14.139,458
211020,Vesuvius,Italy,40.821,14.426,1281
211030,Ischia,Italy,40.73,13.897,789
211031,Palinuro,Italy,39.48,14.83,-70
211040,Stromboli,Italy,38.789,15.213,924
211041,Panarea,Italy,38.638,15.064,399
211042,Lipari,Italy,38.49,14.933,590
211050,Vulcano,Italy,38.404,14.962,500
211060,Etna,Italy,37.748,14.999,3295
211070,Campi Flegrei del Mar di Sicilia,Italy,37.1,12.7,-8
211071,Pantelleria,Italy,36.77,12.02,836
211080,Marsili,Italy,39.284,14.399,-779
212020,Methana,Greece,37.615,23.336,760
212030,Milos,Greece,36.699,24.439,751
212040,Santorini,Greece,36.404,25.396,367
212050,Nisyros,Greece,36.586,27.16,698
212051,Yali,Greece,36.671,27.14,180
213000,Kula,Turkey,38.58,28.52,750
213001,Karapinar Field,Turkey,37.667,33.6,1302
213002,Hasan Dagi,Turkey,38.13,34.17,3253
213003,Gollu Dag,Turkey,38.25,34.57,2143
213004,Acigol-Nevsehir,Turkey,38.537,34.621,1683
213010,Erciyes Dagi,Turkey,38.531,35.447,3864
213011,Karaca Dag,Turkey,37.67,39.83,1957
213020,Nemrut Dagi,Turkey,38.654,42.229,2948
213030,Tenduruk Dagi,Turkey,39.356,43.874,3514
213040,Ararat,Turkey,39.7,44.3,5165
214010,Elbrus,Russia,43.351,42.442,5642
214020,Kazbek,Georgia,42.7,44.5,5050
214050,Samsari Volcanic Center,Georgia,41.542,43.7,3290
214060,Aragats,Armenia,40.53,44.2,4095
214070,Ghegham Volcanic Ridge,Armenia,40.283,45,3597
214080,Vaiyots-Sar,Armenia,39.797,45.497,2575
214090,Porak,Armenia-Azerbaijan,40.028,45.74,3029
214100,Tskhouk-Karckar,Armenia-Azerbaijan,39.742,45.992,3139
221010,"Tair, Jebel at",Yemen,15.55,41.83,244
221020,Zubair Group,Yemen,15.05,42.18,191
221021,Zukur,Yemen,14.02,42.75,624
221022,Hanish,Yemen,13.72,42.73,422
221040,Alid,Eritrea,14.88,39.92,904
221041,Dallol,Ethiopia,14.242,40.3,-48
221050,Gada Ale,Ethiopia,13.975,40.408,287
221060,Alu-Dalafilla,Ethiopia,13.793,40.553,578
221071,Bora Ale,Ethiopia,13.725,40.6,668
221080,Erta Ale,Ethiopia,13.6,40.67,613
221090,Ale Bagu,Ethiopia,13.512,40.631,988
221091,Hayli Gubbi,Ethiopia,13.51,40.722,493
221100,Dubbi,Eritrea,13.579,41.809,1625
221101,Nabro,Eritrea,13.37,41.7,2218
221102,Mallahle,Ethiopia-Eritrea,13.27,41.65,1875
221103,Sork Ale,Ethiopia-Eritrea,13.18,41.725,1611
221104,Asavyo,Ethiopia,13.098,41.599,1338
221105,Mat Ala,Ethiopia,13.106,41.161,493
221106,Tat Ali,Ethiopia,13.284,41.063,655
221107,Borawli,Ethiopia,13.304,40.987,784
221110,Afdera,Ethiopia,13.088,40.853,1250
221111,Ma Alalta,Ethiopia,13.013,40.185,1745
221112,Alayta,Ethiopia,12.888,40.573,1496
221113,Dabbahu,Ethiopia,12.595,40.48,1401
221114,Dabbayra,Ethiopia,12.38,40.07,1302
221115,Manda Hararo,Ethiopia,12.17,40.82,600
221116,Groppo,Ethiopia,11.816,40.242,852
221120,Kurub,Ethiopia,11.88,41.208,625
221122,Manda-Inakir,Ethiopia-Djibouti,12.38,42.2,600
221123,Mousa Alli,Ethiopia-Eritrea-Djibouti,12.469,42.404,1993
221124,Gufa,Eritrea-Djibouti,12.55,42.53,600
221125,Assab Volcanic Field,Eritrea,12.95,42.43,987
221126,Ardoukoba,Djibouti,11.58,42.47,298
221127,Manda Gargori,Ethiopia,11.75,41.48,700
221141,Dama Ali,Ethiopia,11.28,41.63,1068
221150,Gabillema,Ethiopia,11.08,41.27,1459
221151,Yangudi,Ethiopia,10.58,41.042,1383
221160,Ayelu,Ethiopia,10.082,40.702,2145
221170,Adwa,Ethiopia,10.07,40.84,1733
221171,Hertali,Ethiopia,9.78,40.33,900
221172,Liado Hayk,Ethiopia,9.57,40.28,878
221180,Dofan,Ethiopia,9.35,40.13,1151
221190,Fentale,Ethiopia,8.975,39.93,2007
221191,Beru,Ethiopia,8.95,39.75,1100
221200,Kone,Ethiopia,8.788,39.701,1380
221210,Boset-Bericha,Ethiopia,8.558,39.475,2447
221220,Bishoftu Volcanic Field,Ethiopia,8.78,38.98,1850
221222,Sodore,Ethiopia,8.43,39.35,1765
221230,Gedamsa,Ethiopia,8.357,39.188,1873
221240,Bora-Bericcio,Ethiopia,8.221,39.05,2267
221250,Tullu Moje,Ethiopia,8.159,39.137,2343
221251,Unnamed,Ethiopia,8.013,39.062,1886
221252,East Zway,Ethiopia,7.874,38.902,1889
221260,Butajiri-Silti Field,Ethiopia,8.05,38.35,2281
221270,Alutu,Ethiopia,7.77,38.78,2335
221280,O'a Caldera,Ethiopia,7.47,38.58,2075
221290,Corbetti Caldera,Ethiopia,7.193,38.39,2320
221291,Bilate River Field,Ethiopia,7.07,38.1,1700
221292,Tepi,Ethiopia,7.42,35.43,2728
221294,Northern Lake Abaya Volcanic Field,Ethiopia,6.76,37.97,1594
221311,East Chamo Basin,Ethiopia,5.708,37.713,1150
221320,Korath Range,Ethiopia,5.1,35.88,912
221330,Mega Basalt Field,Ethiopia-Kenya,4.063,37.488,1111
222001,North Island,Kenya,4.059,36.049,490
222010,Central Island,Kenya,3.496,36.04,518
222020,South Island,Kenya,2.63,36.6,800
222021,Marsabit,Kenya,2.32,37.97,1707
222030,"Barrier, The",Kenya,2.32,36.57,1032
222040,Namarunu,Kenya,1.98,36.43,817
222050,Segererua Plateau,Kenya,1.57,37.9,699
222051,Emuruangogolak,Kenya,1.5,36.33,1285
222052,Silali,Kenya,1.15,36.23,1528
222053,Paka,Kenya,0.92,36.18,1697
222054,Korosi,Kenya,0.77,36.12,1446
222055,Ol Kokwe,Kenya,0.62,36.075,1130
222056,Nyambeni Hills,Kenya,0.23,37.87,750
222060,Menengai,Kenya,-0.2,36.07,2278
222070,Homa Mountain,Kenya,-0.38,34.5,1751
222071,Elmenteita Badlands,Kenya,-0.52,36.27,2126
