Volcano Number,Volcano Name,Country,Latitude,Longitude,Elevation
210801,South Harghita Mountains,Romania,46.13,25.88,1289
210802,Persani Mountains,Romania,45.982,25.339,623
210803,Apuseni Mountains,Romania,45.93,22.88,353
210804,Lucaret Basalts,Romania,45.826,21.69,190
210805,Bakony-Balaton Highland,Hungary,46.92,17.63,600
210806,Little Hungarian Plain,Hungary,47.192,17.2,433
210807,Nograd-Southern Slovakia,Hungary-Slovakia,48.159,19.79,720
210809,Central Slovakia,Slovakia,48.403,18.877,1009
210810,Bruntal Volcanic Field,Czech Republic,49.88,17.475,780
210811,Cheb Basin,Czech Republic,49.97,12.392,585
210812,East Eifel Volcanic Field,Germany,50.4,7.325,588
210813,Rodderberg,Germany,50.62,7.2,150
210814,Cofrentes,Spain,39.235,-1.064,514
210816,"Columbretes, Islas",Spain,39.896,0.686,33
211800,Amiata,Italy,42.9,11.63,1738
211801,Radicofani,Italy,42.87,11.77,0
211802,Torre Alfina,Italy,42.78,11.92,0
211803,San Venanzo,Italy,42.85,12.28,466
211804,Acquasparta,Italy,42.65,12.3,0
211805,Polino,Italy,42.57,12.82,0
211806,Cupaello,Italy,42.43,12.93,650
211807,Oricola-Carsoli,Italy,42.15,13.08,0
211808,Vico-Cimino Complex,Italy,42.367,12.188,1053
211809,Sabatini Complex,Italy,42.17,12.22,612
211810,"Ernici, Monti",Italy,41.58,13.33,0
211811,Roccamonfina,Italy,41.3,13.93,1066
211812,"Vulture, Monte",Italy,40.92,15.67,1330
211813,Ventotene,Italy,40.8,13.42,139
211814,Pontine Islands,Italy,40.9,12.95,283
211815,Logudoro,Italy,40.58,8.67,0
211816,Salina,Italy,38.58,14.85,962
211817,Filicudi,Italy,38.58,14.55,773
211818,Alicudi,Italy,38.55,14.33,675
211819,Ustica,Italy,38.72,13.18,248
211820,Iblei,Italy,37.117,14.821,825
211821,Linosa,Italy,35.87,12.87,195
211822,Gaeta Bay Volcanic Field,Italy,40.978,13.663,0
